year,iter,SDI,L2_return,L1_return,L2_insolvent,L1_insolvent,yearly_premium,claims,wind,fire,hail,hurricane
1956,60,25672.27093755288,0.6305511059784723,-0.21131659472274555,0,0,12.176719303733943,0,0,0,0,0
1957,60,25672.27093755288,0.6522989567629356,0.31827420880695456,0,0,12.143449578860352,0,0,0,0,0
1958,60,25672.27093755288,0.5436946468492667,0.11087276764809006,0,0,12.143449578860352,1,0,0,0,1
1959,60,25672.27093755288,-0.2569963887041079,-0.09059835200338984,0,0,12.143449578860352,12,0,0,0,12
1960,60,25672.27093755288,0.5442490672296798,0.3762459522749608,0,0,12.176719303733943,1,0,0,0,1
1961,60,25672.27093755288,-0.8496553987929186,0.29857870833118416,0,0,12.143449578860352,19,0,0,0,19
1962,60,25672.27093755288,0.6086599986237893,-0.22330716632607372,0,0,12.143449578860352,0,0,0,0,0
1963,60,25672.27093755288,0.5289632420959867,0.3750061814151764,0,0,12.143449578860352,0,0,0,0,0
1964,60,25672.27093755288,0.6366589872291555,-0.029955784727555224,0,0,12.176719303733943,0,0,0,0,0
1965,60,25672.27093755288,0.5967621634617619,0.37384129284142165,0,0,12.143449578860352,0,0,0,0,0
1966,60,25672.27093755288,0.6502882314004406,0.37519905560138334,0,0,12.143449578860352,0,0,0,0,0
1967,60,25672.27093755288,0.6462296788500304,0.37155929248273756,0,0,12.143449578860352,1,0,0,0,1
1968,60,25672.27093755288,-0.020957267610950403,0.3779695987056808,0,0,12.176719303733943,8,0,0,0,8
1969,60,25672.27093755288,0.16342887739113854,0.37088725456271976,0,0,12.143449578860352,6,0,0,0,6
1970,60,25672.27093755288,0.6617472492279008,-0.12514217549425943,0,0,12.143449578860352,0,0,0,0,0
1971,60,25672.27093755288,0.4929831252061321,-0.2850597750604901,0,0,12.143449578860352,0,0,0,0,0
1972,60,25672.27093755288,0.5040224031356779,0.37531552019368397,0,0,12.176719303733943,0,0,0,0,0
1973,60,25672.27093755288,0.5389928041310426,0.27757493646345144,0,0,12.143449578860352,0,0,0,0,0
1974,60,25672.27093755288,0.6596162780611634,-0.16026618464891063,0,0,12.143449578860352,0,0,0,0,0
1975,60,25672.27093755288,0.6651098825351889,0.37387655132487896,0,0,12.143449578860352,0,0,0,0,0
1976,60,25672.27093755288,0.5852579684894914,0.3772521250158216,0,0,12.176719303733943,0,0,0,0,0
1977,60,25672.27093755288,0.5521555630090762,0.1244128859138951,0,0,12.143449578860352,0,0,0,0,0
1978,60,25672.27093755288,0.5744810189492948,0.3123774229452625,0,0,12.143449578860352,0,0,0,0,0
1979,60,25672.27093755288,-0.869516915797268,0.25980111976570686,1,0,12.143449578860352,23,0,0,0,23
1980,60,25672.27093755288,0.5485769094759498,0.08450020935302072,0,0,12.176719303733943,0,0,0,0,0
1981,60,25672.27093755288,0.5187390529487936,0.3781162849927824,0,0,12.143449578860352,1,1,0,0,0
1982,60,25672.27093755288,0.6688952824032464,0.37794655238841757,0,0,12.143449578860352,0,0,0,0,0
1983,60,25672.27093755288,0.6544954066645121,0.3706870931455917,0,0,12.143449578860352,0,0,0,0,0
1984,60,25672.27093755288,0.6441524393405877,-0.5819762124521475,0,0,12.176719303733943,0,0,0,0,0
1985,60,25672.27093755288,0.6492690890300976,0.3695713965686571,0,0,12.143449578860352,0,0,0,0,0
1986,60,25672.27093755288,0.6032565076122405,-0.5398299620562323,0,0,12.143449578860352,0,0,0,0,0
1987,60,25672.27093755288,0.5488831896761588,-0.40787445982242365,0,0,12.143449578860352,0,0,0,0,0
1988,60,25672.27093755288,0.21920100702320156,-0.1659605149508836,0,0,12.176719303733943,5,0,0,0,5
1989,60,25672.27093755288,-0.7740042460428603,-0.5661826247839954,0,0,12.143449578860352,19,0,0,0,19
1990,60,25672.27093755288,0.6184907973596514,0.37190854259928185,0,0,12.143449578860352,0,0,0,0,0
1991,60,25672.27093755288,0.6217438989903934,-0.11324661890779886,0,0,12.143449578860352,0,0,0,0,0
1992,60,25672.27093755288,0.6301135685930146,-0.151801707702387,0,0,12.176719303733943,0,0,0,0,0
1993,60,25672.27093755288,0.6045161960203507,0.2475092183711023,0,0,12.143449578860352,0,0,0,0,0
1994,60,25672.27093755288,0.5222305805760123,0.37582500400456165,0,0,12.143449578860352,1,0,0,0,1
1995,60,25672.27093755288,-0.8945500395488395,0.0975263477677546,1,0,12.143449578860352,25,1,0,0,24
1996,60,25672.27093755288,-0.35440260604799445,0.3745693385467146,0,0,12.176719303733943,13,0,0,0,13
1997,60,25672.27093755288,0.52303415087233,0.37307375644685714,0,0,12.143449578860352,1,1,0,0,0
1998,60,25672.27093755288,0.11511373084699406,-0.19453804108846529,0,0,12.143449578860352,6,6,0,0,0
1999,60,25672.27093755288,-0.8578657813649567,-0.2736137113520959,1,0,12.143449578860352,19,0,0,0,19
2000,60,25672.27093755288,0.43383309835744854,0.1686918872151113,0,0,12.176719303733943,2,0,0,1,1
2001,60,25672.27093755288,0.41618579585777526,-0.3956988949622696,0,0,12.143449578860352,2,0,2,0,0
2002,60,25672.27093755288,0.3396211780763625,-0.3429638269159413,0,0,12.143449578860352,3,0,2,1,0
2003,60,25672.27093755288,-0.8494891700380194,0.3766981810588166,0,0,12.143449578860352,19,0,0,0,19
2004,60,25672.27093755288,-0.7409314036128403,-0.023903116248368383,0,0,12.176719303733943,18,0,0,0,18
2005,60,25672.27093755288,-0.35120656292303687,-0.3949473128545741,0,0,12.143449578860352,13,0,0,0,13
2006,60,25672.27093755288,-0.08388583885707057,0.37386172752668734,0,0,12.143449578860352,9,0,0,0,9
2007,60,25672.27093755288,0.16929178665164213,0.36919993668081497,0,0,12.143449578860352,5,0,0,0,5
2008,60,25672.27093755288,-0.8687080625132009,0.37677709220033817,1,0,12.176719303733943,19,0,0,0,19
2009,60,25672.27093755288,0.5572132130848746,0.35791710583721525,0,0,12.143449578860352,0,0,0,0,0
2010,60,25672.27093755288,0.6180763599518879,0.3777590500599082,0,0,12.143449578860352,1,0,0,0,1
2011,60,25672.27093755288,0.3122713673481152,0.267029675192904,0,0,12.143449578860352,5,1,0,0,4
2012,60,25672.27093755288,0.42458029006143927,0.37307855848567506,0,0,12.176719303733943,3,0,2,0,1
2013,60,25672.27093755288,0.49986186531270405,0.37646501876889893,0,0,12.143449578860352,1,0,1,0,0
