case_id,p_name,p_year,p_state,p_county,ylat,xlong,p_cap_ac
403573,OE_GA3,2020,GA,Mitchell,31.195498,-84.138786,57.5
401792,Hazlehurst II,2016,GA,Jeff Davis,31.820194,-82.602264,52.5
402597,Camilla Solar Energy Project,2020,GA,Mitchell,31.278736,-84.22245,171.4
402792,SR Terrell,2020,GA,Terrell,31.867296,-84.359131,74
402974,Moody Air Force Base Solar,2020,GA,Lowndes,30.953218,-83.216377,49.5
403079,Quitman Solar,2019,GA,Brooks,30.847801,-83.63887,150
403793,Cool Springs Solar (Hybrid),2021,GA,Decatur,30.741844,-84.672401,213
402512,Robins Air Force Base Solar,2021,GA,Bibb,32.684483,-83.624222,128
404054,SR Lumpkin,2021,GA,Stewart,32.024948,-84.736397,100
404063,Baxley,2020,GA,Appling,31.878614,-82.331894,25
404136,Quitman II Solar,2021,GA,Brooks,30.866871,-83.652252,150
404483,Twiggs Solar,2020,GA,Twiggs,32.593742,-83.499992,204
404484,SR Perry,2021,GA,Houston,32.379131,-83.762573,68
401348,Fort Stewart Solar Facility,2016,GA,Liberty,31.901562,-81.592155,30
404608,Hickory Park Solar Hybrid,2015,GA,Mitchell,31.300488,-84.133629,195.5
404741,"SR Clay, LLC",2022,GA,Clay,31.561028,-84.894005,106
404742,"SR Cedar Springs, LLC",2022,GA,Early,31.226789,-85.07531,70
404984,"Sonny Solar, LLC",2023,GA,Elbert,34.05513,-82.717255,40
404998,"Bulldog Solar, LLC",2023,GA,Warren,33.370441,-82.67897,80
405581,Lancaster Solar GA,2021,GA,Calhoun,31.469767,-84.753838,80
405681,"SR DeSoto I, LLC",2022,GA,Lee,31.885715,-84.029671,165
406112,SR DeSoto II,2023,GA,Lee,31.862169,-84.024223,65
406351,SR DeSoto III,2023,GA,Lee,31.866272,-84.003418,60
402867,Snipesville,2020,GA,Jeff Davis,31.705011,-82.738655,86
405824,SR Snipesville II,2021,GA,Jeff Davis,31.712805,-82.713394,107
404958,SR Snipesville III,2023,GA,Jeff Davis,31.72813,-82.726723,107
406057,Bird Dog Solar,2023,GA,Burke,33.119633,-82.000839,40
406058,Blackwater Solar,2024,GA,Ware,31.394884,-82.614479,80
406059,Hobnail Solar,2023,GA,Burke,33.264706,-82.173935,70
406414,CPV Stagecoach Solar,2024,GA,Macon,32.199032,-84.074692,80
403595,"Wapello Solar, LLC",2021,IA,Louisa,41.156052,-91.174614,100
405673,Arbor Hill Solar,2022,IA,Adair,41.459377,-94.280495,25
